species,region,huntingSeason
Halli,Metsästyslain 10 §:n nojalla annetun alueellisen kiintiön puitteissa,16.4.2017 — 31.7.2017 Kiintiö etusivulla.
Halli,Metsästyslain 10 §:n nojalla annetun alueellisen kiintiön puitteissa,1.8.2017 — 31.12.2017 Kiintiö etusivulla.
Villisika,"Koko maassa. Naarasta, jolla on porsaat ei saa tappaa 1.3.–31.7.",1.8.2017 — 31.7.2018
Mufloni,Koko maassa,1.9.2017 — 31.1.2018
Hirvi,"Suomen riistakeskuksen myöntämällä ML 26 §:n mukaisella hirvieläimen pyyntiluvalla Kemin, Kemijärven, Keminmaan, Kittilän, Kolarin, Muonion, Pelkosenniemen, Pellon, Posion, Ranuan, Rovaniemen, Sallan, Savukosken, Simon, Sodankylän, Tervolan, Tornion ja Ylitornion kuntien alueella",1.9.2017 — 15.9.2017
Hirvi,"Suomen riistakeskuksen myöntämällä ML 26 §:n mukaisella hirvieläimen pyyntiluvalla Kemin, Kemijärven, Keminmaan, Kittilän, Kolarin, Muonion, Pelkosenniemen, Pellon, Posion, Ranuan, Rovaniemen, Sallan, Savukosken, Simon, Sodankylän, Tervolan, Tornion ja Ylitornion kuntien alueella",14.10.2017 — 31.12.2017
Hirvi,"Suomen riistakeskuksen myöntämällä ML 26 §:n mukaisella hirvieläimen pyyntiluvalla (Enontekiö, Inari ja Utsjoki)",1.9.2017 — 15.9.2017
Hirvi,"Suomen riistakeskuksen myöntämällä ML 26 §:n mukaisella hirvieläimen pyyntiluvalla (Enontekiö, Inari ja Utsjoki)",14.10.2017 — 30.11.2017
Hirvi,Muualla maassa Suomen riistakeskuksen myöntämällä ML 26 §:n mukaisella hirvieläimen pyyntiluvalla,14.10.2017 — 31.12.2017
Hirvi,Muualla maassa Suomen riistakeskuksen myöntämällä ML 26 §:n mukaisella hirvieläimen pyyntiluvalla,1.9.2017 — 13.10.2017 Vahtimalla pellolta.
Valkohäntäpeura,Vahtimalla – Suomen riistakeskuksen myöntämällä ML 26 §:n mukaisella hirvieläimen pyyntiluvalla,1.9.2017 — 29.9.2017 Vahtimalla
Valkohäntäpeura,Suomen riistakeskuksen myöntämällä ML 26 §:n mukaisella hirvieläimen pyyntiluvalla,30.9.2017 — 31.1.2018
Metsäpeura,Suomen riistakeskuksen myöntämällä ML 26 §:n mukaisella hirvieläimen pyyntiluvalla,30.9.2017 — 31.1.2018
Kuusipeura,Suomen riistakeskuksen myöntämällä ML 26 §:n mukaisella hirvieläimen pyyntiluvalla,30.9.2017 — 31.1.2018
Kuusipeura,Suomen riistakeskuksen myöntämällä ML 26 §:n mukaisella hirvieläimen pyyntiluvalla,1.9.2017 — 29.9.2017 Vahtimalla
Metsäkauris,Koko maassa,1.9.2017 — 31.1.2018
Metsäkauris,Koko maassa,16.5.2017 — 15.6.2017 uros
Metsäkauris,Koko maassa,30.9.2017 — 31.1.2018 ajavaa koiraa käyttäen
Karhu,"Muualla maassa Suomen riistakeskuksen myöntämällä metsästyslain 41 a §:n 3 momentissa tarkoitetulla poikkeusluvalla, lukuun ottamatta vuotta nuorempaa pentua sekä naarasta, jota tällainen pentu seuraa)",20.8.2017 — 31.10.2017
Karhu,"Poronhoitoalueella, metsästyslaissa säädetyistä poikkeusluvista annetun valtioneuvoston asetuksen (452/2013) 8 §:n mukaisen kiintiön nojalla (lukuun ottamatta vuotta nuorempaa pentua sekä naarasta, jota tällainen pentu seuraa)",20.8.2017 — 31.10.2017 Kiintiö etusivulla.
Karhu,Suomen riistakeskuksen myöntämällä ML 41 a §:n 1 momentissa tarkoitetulla poikkeusluvalla,1.8.2017 — 31.7.2018
Susi,Lisäksi metsästyslain 41 a §:n 3 momentissa tarkoitettu poikkeuslupa voidaan myöntää: suden pyydystämiseksi tai tappamiseksi.,Ajat ilmenevät poikkeuslupapäätöksistä.
Susi,Suomen riistakeskuksen myöntämällä ML 41 §:ssä tarkoitetulla poikkeusluvalla,1.8.2017 — 31.7.2018 Ajat ilmenevät poikkeuslupapäätöksistä.
